from,to,cost
7,10,59.874
7,4,56.69
7,5,50.809
7,2,65.362
0,3,30.746
10,2,26.346
9,8,10.861
9,4,18.173
9,1,9.616
9,2,20.962
8,3,17.452
8,6,11.232
8,1,10.915
8,2,27.436
3,6,23.673
3,2,35.455
4,5,24.475
4,6,18.441
4,1,14.177
4,2,27.569
6,1,10.933
