from,to,cost
2,6,18.807
2,7,20.443
0,6,17.794
0,5,13.339
0,7,23.093
1,8,18.787
1,4,21.383
6,7,31.387
8,3,16.653
8,4,19.715
5,3,10.443
5,7,17.323
3,7,19.954
3,4,23.5
7,4,28.338
